1	1	chr1	11210	3	2	5
2	1	chr1	11226	3	2	5
3	1	chr1	11239	1	6	7
4	1	chr1	11284	2	7	9
5	2	chr1	11297	4	8	12
6	4	chr1	11300	5	9	14
7	1	chr1	11343	5	5	10
8	1	chr1	11346	5	5	10
9	3	chr1	16869	6	0	6
10	2	chr1	68056	14	7	21
11	2	chr1	68122	31	0	31
12	1	chr1	68239	85	48	133
13	5	chr1	68246	100	38	138
14	2	chr1	128886	6	0	6
15	5	chr1	128904	7	0	7
16	3	chr1	129054	6	0	6
17	1	chr1	258921	6	0	6
18	1	chr1	258931	6	0	6
19	5	chr1	258972	0	10	10
20	1	chr1	258983	10	0	10
21	3	chr1	259011	6	0	6
22	1	chr1	259017	6	0	6
23	1	chr1	259023	6	0	6
24	4	chr1	280460	5	0	5
25	1	chr1	280470	5	0	5
26	5	chr1	365633	2	6	8
27	2	chr1	365844	3	2	5
28	5	chr1	494733	6	0	6
29	3	chr1	495429	1	4	5
30	4	chr1	607035	5	0	5
31	2	chr1	616188	3	5	8
32	4	chr1	616271	11	3	14
33	1	chr1	616289	3	11	14
34	2	chr1	616308	9	2	11
35	1	chr1	616357	4	2	6
36	2	chr1	629091	5	19	24
37	1	chr1	629115	9	88	97
38	1	chr1	629121	6	111	117
39	1	chr1	629124	6	117	123
40	1	chr1	629136	6	139	145
41	2	chr1	629154	8	218	226
42	1	chr1	629220	11	541	552
43	4	chr1	629296	18	576	594
44	1	chr1	629311	19	547	566
45	2	chr1	629317	21	549	570
46	1	chr1	629322	31	531	562
47	1	chr1	629515	0	16	16
48	2	chr1	629545	2	22	24
49	1	chr1	629596	4	18	22
50	1	chr1	629609	4	12	16
51	1	chr1	629633	8	29	37
52	2	chr1	629660	14	143	157
53	1	chr1	629701	19	289	308
54	2	chr1	629710	11	314	325
55	1	chr1	629790	18	263	281
56	2	chr1	629824	24	261	285
57	1	chr1	629834	27	224	251
58	1	chr1	629882	26	96	122
59	1	chr1	630017	27	5	32
60	2	chr1	630089	36	13	49
61	2	chr1	630165	31	7	38
62	1	chr1	630223	27	40	67
63	2	chr1	630281	26	449	475
64	8	chr1	630333	26	675	701
65	2	chr1	630406	27	589	616
66	1	chr1	630413	24	559	583
67	1	chr1	630440	20	347	367
68	2	chr1	630522	21	5	26
69	1	chr1	630569	6	7	13
70	2	chr1	630629	12	13	25
71	2	chr1	630792	0	12	12
72	2	chr1	630907	1	27	28
73	1	chr1	630910	2	24	26
74	1	chr1	630913	2	20	22
75	1	chr1	630925	2	18	20
76	1	chr1	630937	1	18	19
77	1	chr1	630960	0	12	12
78	1	chr1	631079	8	159	167
79	1	chr1	631082	8	177	185
80	2	chr1	631086	7	212	219
81	3	chr1	631139	10	322	332
82	1	chr1	631142	8	320	328
83	1	chr1	631185	7	300	307
84	1	chr1	631190	12	274	286
85	2	chr1	631223	10	208	218
86	1	chr1	631238	6	172	178
87	1	chr1	631244	8	143	151
88	1	chr1	631298	2	77	79
89	2	chr1	631334	0	48	48
90	1	chr1	631343	2	40	42
91	1	chr1	631351	0	35	35
92	1	chr1	631359	0	30	30
93	2	chr1	631682	6	2	8
94	2	chr1	631710	8	0	8
95	1	chr1	631733	6	0	6
96	1	chr1	631742	6	0	6
97	2	chr1	631859	0	5	5
98	1	chr1	631932	0	75	75
99	1	chr1	631968	0	109	109
100	1	chr1	631978	1	133	134
